seed,x,digits,carry_bin,lsd_position,correct,n_terms,raw_coeff,carry_in,carry_out,total_pre_mod,edge_distance,target_digit
0,149,3,high,3,0,2,8,4,1,12,2,2
0,149,3,high,2,0,3,34,8,4,42,2,2
0,149,3,high,1,1,2,72,8,8,80,1,0
0,149,3,high,0,1,1,81,0,8,81,0,1
0,315,3,high,5,1,0,0,0,0,0,0,0
0,315,3,high,4,1,1,9,0,0,9,1,9
0,315,3,high,3,0,2,6,3,0,9,2,9
0,315,3,high,2,0,3,31,1,3,32,2,2
0,315,3,high,1,1,2,10,2,1,12,1,2
0,315,3,high,0,1,1,25,0,2,25,0,5
0,157,3,high,5,1,0,0,0,0,0,0,0
0,157,3,high,4,1,1,1,1,0,2,1,2
0,157,3,high,3,0,2,10,4,1,14,2,4
0,157,3,high,2,0,3,39,7,4,46,2,6
0,157,3,high,1,0,2,70,4,7,74,1,4
0,157,3,high,0,1,1,49,0,4,49,0,9
0,280,3,high,5,1,0,0,0,0,0,0,0
0,280,3,high,4,0,1,4,3,0,7,1,7
0,280,3,high,3,0,2,32,6,3,38,2,8
0,280,3,high,2,0,3,64,0,6,64,2,4
0,280,3,high,1,1,2,0,0,0,0,1,0
0,280,3,high,0,1,1,0,0,0,0,0,0
0,115,3,high,5,1,0,0,0,0,0,0,0
0,115,3,high,4,1,1,1,0,0,1,1,1
0,115,3,high,3,0,2,2,1,0,3,2,3
0,115,3,high,2,0,3,11,1,1,12,2,2
0,115,3,high,1,1,2,10,2,1,12,1,2
0,115,3,high,0,1,1,25,0,2,25,0,5
0,240,3,high,5,1,0,0,0,0,0,0,0
0,240,3,high,4,0,1,4,1,0,5,1,5
0,240,3,high,3,0,2,16,1,1,17,2,7
0,240,3,high,2,1,3,16,0,1,16,2,6
0,240,3,high,1,1,2,0,0,0,0,1,0
0,240,3,high,0,1,1,0,0,0,0,0,0
0,217,3,high,5,1,0,0,0,0,0,0,0
0,217,3,high,4,1,1,4,0,0,4,1,4
0,217,3,high,3,0,2,4,3,0,7,2,7
0,217,3,high,2,0,3,29,1,3,30,2,0
0,217,3,high,1,1,2,14,4,1,18,1,8
0,217,3,high,0,1,1,49,0,4,49,0,9
0,164,3,high,5,1,0,0,0,0,0,0,0
0,164,3,high,4,1,1,1,1,0,2,1,2
0,164,3,high,3,0,2,12,4,1,16,2,6
0,164,3,high,2,0,3,44,4,4,48,2,8
0,164,3,high,1,1,2,48,1,4,49,1,9
0,164,3,high,0,1,1,16,0,1,16,0,6
0,135,3,high,5,1,0,0,0,0,0,0,0
0,135,3,high,4,1,1,1,0,0,1,1,1
0,135,3,high,3,0,2,6,2,0,8,2,8
0,135,3,high,2,0,3,19,3,2,22,2,2
0,135,3,high,1,1,2,30,2,3,32,1,2
0,135,3,high,0,1,1,25,0,2,25,0,5
0,263,3,high,5,1,0,0,0,0,0,0,0
0,263,3,high,4,0,1,4,2,0,6,1,6
0,263,3,high,3,0,2,24,5,2,29,2,9
0,263,3,high,2,0,3,48,3,5,51,2,1
